L8/OLI RSR			
converted to text file			
source: https://landsat.gsfc.nasa.gov/satellites/landsat-8/spacecraft-instruments/operational-land-imager/spectral-response-of-the-operational-land-imager-in-band-band-average-relative-spectral-response/			
datasets: wavelength, rsr, band			
wavelength	rsr	band	id
2.077	0.018899	swir2	7
2.078	0.021	swir2	7
2.079	0.023121	swir2	7
2.08	0.025897	swir2	7
2.081	0.028847	swir2	7
2.082	0.032071	swir2	7
2.083	0.035363	swir2	7
2.084	0.040206	swir2	7
2.085	0.045432	swir2	7
2.086	0.050903	swir2	7
2.087	0.056429	swir2	7
2.088	0.06327	swir2	7
2.089	0.070409	swir2	7
2.09	0.079382	swir2	7
2.091	0.088907	swir2	7
2.092	0.10064	swir2	7
2.093	0.11283	swir2	7
2.094	0.128292	swir2	7
2.095	0.144668	swir2	7
2.096	0.162055	swir2	7
2.097	0.179714	swir2	7
2.098	0.20278	swir2	7
2.099	0.227234	swir2	7
2.1	0.253732	swir2	7
2.101	0.280925	swir2	7
2.102	0.311347	swir2	7
2.103	0.342526	swir2	7
2.104	0.377044	swir2	7
2.105	0.412621	swir2	7
2.106	0.45047	swir2	7
2.107	0.488816	swir2	7
2.108	0.522458	swir2	7
2.109	0.554715	swir2	7
2.11	0.593227	swir2	7
2.111	0.633521	swir2	7
2.112	0.663067	swir2	7
2.113	0.689664	swir2	7
2.114	0.722284	swir2	7
2.115	0.756529	swir2	7
2.116	0.776463	swir2	7
2.117	0.792667	swir2	7
2.118	0.813716	swir2	7
2.119	0.836001	swir2	7
2.12	0.846344	swir2	7
2.121	0.853714	swir2	7
2.122	0.867845	swir2	7
2.123	0.883615	swir2	7
2.124	0.886411	swir2	7
2.125	0.886127	swir2	7
2.126	0.895232	swir2	7
2.127	0.906527	swir2	7
2.128	0.909739	swir2	7
2.129	0.911091	swir2	7
2.13	0.917985	swir2	7
2.131	0.926131	swir2	7
2.132	0.929693	swir2	7
2.133	0.932227	swir2	7
2.134	0.936544	swir2	7
2.135	0.941406	swir2	7
2.136	0.942571	swir2	7
2.137	0.942952	swir2	7
2.138	0.943112	swir2	7
2.139	0.943194	swir2	7
2.14	0.945168	swir2	7
2.141	0.947537	swir2	7
2.142	0.948776	swir2	7
2.143	0.949694	swir2	7
2.144	0.949643	swir2	7
2.145	0.9494	swir2	7
2.146	0.952551	swir2	7
2.147	0.956635	swir2	7
2.148	0.953083	swir2	7
2.149	0.947423	swir2	7
2.15	0.949094	swir2	7
2.151	0.952773	swir2	7
2.152	0.950874	swir2	7
2.153	0.947477	swir2	7
2.154	0.947014	swir2	7
2.155	0.947085	swir2	7
2.156	0.951812	swir2	7
2.157	0.957717	swir2	7
2.158	0.953332	swir2	7
2.159	0.946412	swir2	7
2.16	0.947778	swir2	7
2.161	0.951119	swir2	7
2.162	0.951641	swir2	7
2.163	0.951518	swir2	7
2.164	0.948644	swir2	7
2.165	0.944956	swir2	7
2.166	0.942515	swir2	7
2.167	0.940311	swir2	7
2.168	0.9434	swir2	7
2.169	0.947923	swir2	7
2.17	0.94501	swir2	7
2.171	0.940213	swir2	7
2.172	0.938737	swir2	7
2.173	0.93806	swir2	7
2.174	0.941859	swir2	7
2.175	0.947019	swir2	7
2.176	0.946554	swir2	7
2.177	0.944482	swir2	7
2.178	0.947414	swir2	7
2.179	0.951661	swir2	7
2.18	0.949283	swir2	7
2.181	0.945318	swir2	7
2.182	0.939939	swir2	7
2.183	0.934142	swir2	7
2.184	0.935493	swir2	7
2.185	0.93882	swir2	7
2.186	0.939253	swir2	7
2.187	0.938955	swir2	7
2.188	0.934675	swir2	7
2.189	0.929162	swir2	7
2.19	0.927085	swir2	7
2.191	0.925692	swir2	7
2.192	0.930508	swir2	7
2.193	0.936899	swir2	7
2.194	0.933908	swir2	7
2.195	0.927984	swir2	7
2.196	0.930981	swir2	7
2.197	0.936472	swir2	7
2.198	0.935776	swir2	7
2.199	0.933523	swir2	7
2.2	0.935132	swir2	7
2.201	0.937592	swir2	7
2.202	0.946217	swir2	7
2.203	0.956567	swir2	7
2.204	0.955661	swir2	7
2.205	0.951991	swir2	7
2.206	0.956666	swir2	7
2.207	0.963135	swir2	7
2.208	0.964442	swir2	7
2.209	0.964365	swir2	7
2.21	0.963523	swir2	7
2.211	0.962434	swir2	7
2.212	0.962905	swir2	7
2.213	0.963685	swir2	7
2.214	0.962473	swir2	7
2.215	0.960741	swir2	7
2.216	0.959239	swir2	7
2.217	0.957814	swir2	7
2.218	0.957781	swir2	7
2.219	0.958041	swir2	7
2.22	0.953274	swir2	7
2.221	0.94716	swir2	7
2.222	0.951706	swir2	7
2.223	0.958833	swir2	7
2.224	0.960212	swir2	7
2.225	0.960339	swir2	7
2.226	0.954785	swir2	7
2.227	0.947696	swir2	7
2.228	0.951965	swir2	7
2.229	0.95906	swir2	7
2.23	0.960554	swir2	7
2.231	0.960764	swir2	7
2.232	0.95575	swir2	7
2.233	0.949261	swir2	7
2.234	0.953245	swir2	7
2.235	0.95997	swir2	7
2.236	0.963736	swir2	7
2.237	0.966786	swir2	7
2.238	0.964315	swir2	7
2.239	0.960173	swir2	7
2.24	0.965473	swir2	7
2.241	0.973416	swir2	7
2.242	0.977637	swir2	7
2.243	0.980904	swir2	7
2.244	0.98276	swir2	7
2.245	0.984155	swir2	7
2.246	0.984693	swir2	7
2.247	0.985056	swir2	7
2.248	0.991486	swir2	7
2.249	0.9996	swir2	7
2.25	0.997654	swir2	7
2.251	0.993153	swir2	7
2.252	0.992469	swir2	7
2.253	0.992675	swir2	7
2.254	0.995894	swir2	7
2.255	1	swir2	7
2.256	0.999279	swir2	7
2.257	0.997261	swir2	7
2.258	0.994356	swir2	7
2.259	0.991127	swir2	7
2.26	0.987747	swir2	7
2.261	0.984349	swir2	7
2.262	0.986037	swir2	7
2.263	0.989132	swir2	7
2.264	0.984536	swir2	7
2.265	0.978024	swir2	7
2.266	0.975019	swir2	7
2.267	0.972794	swir2	7
2.268	0.974168	swir2	7
2.269	0.97654	swir2	7
2.27	0.976199	swir2	7
2.271	0.975206	swir2	7
2.272	0.974409	swir2	7
2.273	0.973662	swir2	7
2.274	0.967502	swir2	7
2.275	0.959895	swir2	7
2.276	0.956943	swir2	7
2.277	0.955095	swir2	7
2.278	0.955085	swir2	7
2.279	0.955588	swir2	7
2.28	0.947195	swir2	7
2.281	0.93665	swir2	7
2.282	0.922405	swir2	7
2.283	0.907109	swir2	7
2.284	0.89494	swir2	7
2.285	0.883588	swir2	7
2.286	0.855489	swir2	7
2.287	0.823876	swir2	7
2.288	0.78488	swir2	7
2.289	0.744025	swir2	7
2.29	0.69852	swir2	7
2.291	0.651673	swir2	7
2.292	0.602539	swir2	7
