S2A/MSI RSR			
converted to text file			
source: https://sentinels.copernicus.eu/web/sentinel/user-guides/sentinel-2-msi/document-library/-/asset_publisher/Wk0TKajiISaR/content/sentinel-2a-spectral-responses			
datasets: wavelength, rsr, band			
wavelength	rsr	band	id
0.936	0.664591498	B9	10
0.937	0.874541137	B9	10
0.938	0.936959878	B9	10
0.939	0.967510144	B9	10
0.94	0.989339103	B9	10
0.941	0.995126896	B9	10
0.942	1	B9	10
0.943	0.978457624	B9	10
0.944	0.980691181	B9	10
0.945	0.992233503	B9	10
0.946	0.987983795	B9	10
0.947	0.994283126	B9	10
0.948	0.983480409	B9	10
0.949	0.978200134	B9	10
0.95	0.950233675	B9	10
0.951	0.952996037	B9	10
0.952	0.922403082	B9	10
0.953	0.85573828	B9	10
0.954	0.709702275	B9	10
0.955	0.464295419	B9	10
0.956	0.215384267	B9	10
0.957	0.065341206	B9	10
0.958	0.016255961	B9	10
1.337	0.000238032	B10	11
1.338	0.000054011	B10	11
1.339	0.000030555	B10	11
1.34	0.000028606	B10	11
1.341	0.000076414	B10	11
1.342	0.000109542	B10	11
1.343	0.000088112	B10	11
1.344	0.000124276	B10	11
1.345	0.000175866	B10	11
1.346	0.000334017	B10	11
1.347	0.000371868	B10	11
1.348	0.000448739	B10	11
1.349	0.000658249	B10	11
1.35	0.001089206	B10	11
1.351	0.00196845	B10	11
1.352	0.003736281	B10	11
1.353	0.008016927	B10	11
1.354	0.018845345	B10	11
1.355	0.044655923	B10	11
1.356	0.101545368	B10	11
1.357	0.200854803	B10	11
1.358	0.342389339	B10	11
1.359	0.506471542	B10	11
1.36	0.662498209	B10	11
1.361	0.783168494	B10	11
1.362	0.861210463	B10	11
1.363	0.910000298	B10	11
1.364	0.942126255	B10	11
1.365	0.962015449	B10	11
1.366	0.973750495	B10	11
1.367	0.981720971	B10	11
1.368	0.987945142	B10	11
1.369	0.992810636	B10	11
1.37	0.996478958	B10	11
1.371	0.99904946	B10	11
1.372	1	B10	11
1.373	0.999092287	B10	11
1.374	0.996049616	B10	11
1.375	0.990956135	B10	11
1.376	0.984853732	B10	11
1.377	0.978085355	B10	11
1.378	0.970372704	B10	11
1.379	0.960890124	B10	11
1.38	0.948599028	B10	11
1.381	0.933274986	B10	11
1.382	0.915013686	B10	11
1.383	0.894075033	B10	11
1.384	0.868634853	B10	11
1.385	0.830744554	B10	11
1.386	0.76452492	B10	11
1.387	0.65530055	B10	11
1.388	0.507853983	B10	11
1.389	0.35145525	B10	11
1.39	0.219307816	B10	11
1.391	0.1274815	B10	11
1.392	0.068371642	B10	11
1.393	0.032620423	B10	11
1.394	0.013687992	B10	11
1.395	0.005499615	B10	11
1.396	0.002399545	B10	11
1.397	0.001125292	B10	11
1.398	0.000545136	B10	11
1.399	0.000350108	B10	11
1.4	0.000176863	B10	11
1.401	0.000218748	B10	11
1.402	0.000196998	B10	11
1.403	0.0001058	B10	11
1.404	0.000059528	B10	11
1.405	0.000051435	B10	11
1.406	0.000061894	B10	11
1.407	0.000056196	B10	11
1.408	0.000039155	B10	11
1.409	0.00003185	B10	11
1.41	0.000121264	B10	11
1.411	0.000108791	B10	11
1.412	0.000025451	B10	11
1.539	0.000006934	B11	12
1.54	0.000006804	B11	12
1.541	0.000008224	B11	12
1.542	0.000028105	B11	12
1.543	0.00003784	B11	12
1.544	0.000090746	B11	12
1.545	0.000147452	B11	12
1.546	0.000251399	B11	12
1.547	0.000480203	B11	12
1.548	0.000569537	B11	12
1.549	0.000662261	B11	12
1.55	0.000910566	B11	12
1.551	0.001166089	B11	12
1.552	0.001684036	B11	12
1.553	0.00245816	B11	12
1.554	0.00356747	B11	12
1.555	0.005345161	B11	12
1.556	0.008317784	B11	12
1.557	0.012628433	B11	12
1.558	0.018996334	B11	12
1.559	0.027780618	B11	12
1.56	0.03958367	B11	12
1.561	0.054865088	B11	12
1.562	0.074929768	B11	12
1.563	0.101069914	B11	12
1.564	0.135475748	B11	12
1.565	0.182597282	B11	12
1.566	0.247275543	B11	12
1.567	0.330736144	B11	12
1.568	0.429690906	B11	12
1.569	0.537634456	B11	12
1.57	0.647173334	B11	12
1.571	0.743528409	B11	12
1.572	0.815215305	B11	12
1.573	0.859201504	B11	12
1.574	0.879668577	B11	12
1.575	0.887029952	B11	12
1.576	0.889097838	B11	12
1.577	0.891416958	B11	12
1.578	0.897586018	B11	12
1.579	0.90663052	B11	12
1.58	0.916528056	B11	12
1.581	0.92657894	B11	12
1.582	0.935322165	B11	12
1.583	0.942393561	B11	12
1.584	0.947506732	B11	12
1.585	0.951415577	B11	12
1.586	0.954254286	B11	12
1.587	0.956429305	B11	12
1.588	0.958205215	B11	12
1.589	0.960687866	B11	12
1.59	0.963480014	B11	12
1.591	0.965796837	B11	12
1.592	0.968180454	B11	12
1.593	0.97101157	B11	12
1.594	0.973379886	B11	12
1.595	0.97591493	B11	12
1.596	0.978581496	B11	12
1.597	0.979877753	B11	12
1.598	0.98058868	B11	12
1.599	0.980912334	B11	12
1.6	0.981411503	B11	12
1.601	0.981243863	B11	12
1.602	0.980705072	B11	12
1.603	0.980376964	B11	12
1.604	0.981066319	B11	12
1.605	0.982735565	B11	12
1.606	0.985121995	B11	12
